date,time,last_price,change_percent
2023-11-27,16:43:06,1888.5,-0.46
2023-11-27,16:43:06,1888.5,-0.46
2023-11-27,16:45:06,1888.59,-0.46
2023-11-27,16:46:06,1888.28,-0.47
2023-11-27,16:47:06,1888.3,-0.47
2023-11-27,16:48:06,1887.94,-0.49
2023-11-27,16:49:06,1887.82,-0.5
2023-11-27,16:49:06,1887.82,-0.5
2023-11-27,16:51:06,1888.18,-0.48
2023-11-27,16:51:06,1888.18,-0.48
